extract_id,period,region,topic,value,unit,confidence,source_ref
seed-0001,XINNING,NATIONAL,revenue_total,1000,guan,C,placeholder://seed/xinning/national/revenue_total
seed-0002,XINNING,NATIONAL,liangshui,300,guan,C,placeholder://seed/xinning/national/liangshui
seed-0003,XINNING,NATIONAL,shangshui,200,guan,C,placeholder://seed/xinning/national/shangshui
seed-0004,XINNING,NORTH,revenue_total,600,guan,C,placeholder://seed/xinning/north/revenue_total
seed-0005,XINNING,NORTH,liangshui,180,guan,C,placeholder://seed/xinning/north/liangshui
seed-0006,XINNING,NORTH,shangshui,120,guan,C,placeholder://seed/xinning/north/shangshui
seed-0007,XINNING,SOUTH,revenue_total,400,guan,C,placeholder://seed/xinning/south/revenue_total
seed-0008,XINNING,SOUTH,liangshui,120,guan,C,placeholder://seed/xinning/south/liangshui
seed-0009,XINNING,SOUTH,shangshui,80,guan,C,placeholder://seed/xinning/south/shangshui
seed-0010,YUANFENG,NATIONAL,revenue_total,1100,guan,C,placeholder://seed/yuanfeng/national/revenue_total
seed-0011,YUANFENG,NATIONAL,liangshui,330,guan,C,placeholder://seed/yuanfeng/national/liangshui
seed-0012,YUANFENG,NATIONAL,shangshui,220,guan,C,placeholder://seed/yuanfeng/national/shangshui
seed-0013,YUANFENG,NORTH,revenue_total,650,guan,C,placeholder://seed/yuanfeng/north/revenue_total
seed-0014,YUANFENG,NORTH,liangshui,195,guan,C,placeholder://seed/yuanfeng/north/liangshui
seed-0015,YUANFENG,NORTH,shangshui,130,guan,C,placeholder://seed/yuanfeng/north/shangshui
seed-0016,YUANFENG,SOUTH,revenue_total,450,guan,C,placeholder://seed/yuanfeng/south/revenue_total
seed-0017,YUANFENG,SOUTH,liangshui,135,guan,C,placeholder://seed/yuanfeng/south/liangshui
seed-0018,YUANFENG,SOUTH,shangshui,90,guan,C,placeholder://seed/yuanfeng/south/shangshui
seed-0019,SHAOSHENG,NATIONAL,revenue_total,1200,guan,C,placeholder://seed/shaosheng/national/revenue_total
seed-0020,SHAOSHENG,NATIONAL,liangshui,360,guan,C,placeholder://seed/shaosheng/national/liangshui
seed-0021,SHAOSHENG,NATIONAL,shangshui,240,guan,C,placeholder://seed/shaosheng/national/shangshui
seed-0022,SHAOSHENG,NORTH,revenue_total,700,guan,C,placeholder://seed/shaosheng/north/revenue_total
seed-0023,SHAOSHENG,NORTH,liangshui,210,guan,C,placeholder://seed/shaosheng/north/liangshui
seed-0024,SHAOSHENG,NORTH,shangshui,140,guan,C,placeholder://seed/shaosheng/north/shangshui
seed-0025,SHAOSHENG,SOUTH,revenue_total,500,guan,C,placeholder://seed/shaosheng/south/revenue_total
seed-0026,SHAOSHENG,SOUTH,liangshui,150,guan,C,placeholder://seed/shaosheng/south/liangshui
seed-0027,SHAOSHENG,SOUTH,shangshui,100,guan,C,placeholder://seed/shaosheng/south/shangshui
seed-0028,HUIZONG,NATIONAL,revenue_total,1300,guan,C,placeholder://seed/huizong/national/revenue_total
seed-0029,HUIZONG,NATIONAL,liangshui,390,guan,C,placeholder://seed/huizong/national/liangshui
seed-0030,HUIZONG,NATIONAL,shangshui,260,guan,C,placeholder://seed/huizong/national/shangshui
seed-0031,HUIZONG,NORTH,revenue_total,760,guan,C,placeholder://seed/huizong/north/revenue_total
seed-0032,HUIZONG,NORTH,liangshui,228,guan,C,placeholder://seed/huizong/north/liangshui
seed-0033,HUIZONG,NORTH,shangshui,152,guan,C,placeholder://seed/huizong/north/shangshui
seed-0034,HUIZONG,SOUTH,revenue_total,540,guan,C,placeholder://seed/huizong/south/revenue_total
seed-0035,HUIZONG,SOUTH,liangshui,162,guan,C,placeholder://seed/huizong/south/liangshui
seed-0036,HUIZONG,SOUTH,shangshui,108,guan,C,placeholder://seed/huizong/south/shangshui
